product_name,price,discount,date
Oneplus Bullets Z2,1499,35,2025-01-31
Oneplus Bullets Z2,1499,35,2025-02-01
Oneplus Bullets Z2,1499,35,2025-02-02
Oneplus Bullets Z2,1499,35,2025-02-03
Oneplus Bullets Z2,1799,22,2025-02-04
Oneplus Bullets Z2,1399,39,2025-02-05
Oneplus Bullets Z2,1399,39,2025-02-06
Oneplus Bullets Z2,1399,39,2025-02-07
Oneplus Bullets Z2,1399,39,2025-02-08
Oneplus Bullets Z2,1399,39,2025-02-09
Realme Buds Wireless 3 Neo,1049,58,2024-12-09
Realme Buds Wireless 3 Neo,1099,56,2024-12-10
Realme Buds Wireless 3 Neo,1049,58,2024-12-11
Realme Buds Wireless 3 Neo,1199,52,2024-12-12
Realme Buds Wireless 3 Neo,1199,52,2024-12-13
Realme Buds Wireless 3 Neo,1950,22,2024-12-14
Realme Buds Wireless 3 Neo,1950,22,2024-12-15
Realme Buds Wireless 3 Neo,1950,22,2024-12-16
Realme Buds Wireless 3 Neo,1299,48,2024-12-17
Realme Buds Wireless 3 Neo,1299,48,2024-12-18
Realme Buds Wireless 3 Neo,1299,48,2024-12-19
Realme Buds Wireless 3 Neo,1299,48,2024-12-20
Realme Buds Wireless 3 Neo,1299,48,2024-12-21
Realme Buds Wireless 3 Neo,1299,48,2024-12-22
Realme Buds Wireless 3 Neo,1299,48,2024-12-23
Realme Buds Wireless 3 Neo,1299,48,2024-12-24
Realme Buds Wireless 3 Neo,1299,48,2024-12-25
Realme Buds Wireless 3 Neo,1299,48,2024-12-26
Realme Buds Wireless 3 Neo,1299,48,2024-12-27
Realme Buds Wireless 3 Neo,1299,48,2024-12-28
Realme Buds Wireless 3 Neo,1299,48,2024-12-29
Realme Buds Wireless 3 Neo,1299,48,2024-12-30
Realme Buds Wireless 3 Neo,1299,48,2024-12-31
Realme Buds Wireless 3 Neo,1199,52,2025-01-01
Realme Buds Wireless 3 Neo,1199,52,2025-01-02
Realme Buds Wireless 3 Neo,1199,52,2025-01-03
Realme Buds Wireless 3 Neo,1199,52,2025-01-04
Realme Buds Wireless 3 Neo,1199,52,2025-01-05
Realme Buds Wireless 3 Neo,1299,48,2025-01-06
Realme Buds Wireless 3 Neo,1299,48,2025-01-07
Realme Buds Wireless 3 Neo,1299,48,2025-01-08
Realme Buds Wireless 3 Neo,1299,48,2025-01-09
Realme Buds Wireless 3 Neo,1299,48,2025-01-10
Realme Buds Wireless 3 Neo,1299,48,2025-01-11
Realme Buds Wireless 3 Neo,1364,45,2025-01-12
Realme Buds Wireless 3 Neo,1299,48,2025-01-13
Realme Buds Wireless 3 Neo,1299,48,2025-01-14
Realme Buds Wireless 3 Neo,1299,48,2025-01-15
Realme Buds Wireless 3 Neo,1099,56,2025-01-16
Realme Buds Wireless 3 Neo,1099,56,2025-01-17
Realme Buds Wireless 3 Neo,999,60,2025-01-18
Realme Buds Wireless 3 Neo,1099,56,2025-01-19
Realme Buds Wireless 3 Neo,1099,56,2025-01-20
Realme Buds Wireless 3 Neo,1099,56,2025-01-21
Realme Buds Wireless 3 Neo,1950,22,2025-01-22
Realme Buds Wireless 3 Neo,999,60,2025-01-23
Realme Buds Wireless 3 Neo,999,60,2025-01-24
Realme Buds Wireless 3 Neo,1950,22,2025-01-25
Realme Buds Wireless 3 Neo,1099,56,2025-01-26
Realme Buds Wireless 3 Neo,1299,48,2025-01-27
Realme Buds Wireless 3 Neo,1208,52,2025-01-28
Realme Buds Wireless 3 Neo,1299,48,2025-01-29
Realme Buds Wireless 3 Neo,1299,48,2025-01-30
Realme Buds Wireless 3 Neo,1208,52,2025-01-31
Realme Buds Wireless 3 Neo,999,60,2025-02-01
Realme Buds Wireless 3 Neo,1099,56,2025-02-02
Realme Buds Wireless 3 Neo,1099,56,2025-02-03
Realme Buds Wireless 3 Neo,1099,56,2025-02-04
Realme Buds Wireless 3 Neo,1099,56,2025-02-05
Realme Buds Wireless 3 Neo,1099,56,2025-02-06
Realme Buds Wireless 3 Neo,1299,48,2025-02-07
Realme Buds Wireless 3 Neo,1299,48,2025-02-08
Realme Buds Wireless 3 Neo,1299,48,2025-02-09
boAt Rockerz 255,1049,74,2024-12-09
boAt Rockerz 255,1049,74,2024-12-10
boAt Rockerz 255,1049,74,2024-12-11
boAt Rockerz 255,1049,74,2024-12-12
boAt Rockerz 255,1049,74,2024-12-13
boAt Rockerz 255,1049,74,2024-12-14
boAt Rockerz 255,1049,74,2024-12-15
boAt Rockerz 255,1049,74,2024-12-16
boAt Rockerz 255,1049,74,2024-12-17
boAt Rockerz 255,1049,74,2024-12-18
boAt Rockerz 255,1049,74,2024-12-19
